Title,Composer,Style/Genre,Sub-Genre/Tradition,Musical Period / Era,Type of Piece,Key Signature (common),Time Signature,Difficulty (Violin),Ensemble Type,Country / Region of Origin,Primary Use Case,Session Friendliness (if folk),Primary Tags,Secondary Tags,Notes
Numi numi - Hebrew Lullaby,Traditional Hebrew,Folk / lullaby,Jewish lullaby,Traditional (pre-modern),Lullaby,D minor,3/4,Beginner–Intermediate,Solo violin,Jewish diaspora,Lullaby performances,Occasional,"Folk › Lullaby; mood: soothing, tender","Soft dynamics, legato, expressive phrasing",Works well at slow tempo for tone work.
Ode to Joy,L. V. Beethoven (1770–1827),Classical / hymn-like,Symphonic theme,Classical (c. 1730–1820),Hymn-like tune,D major,4/4,Beginner–Intermediate,Solo violin or ensemble,Germany,"Orchestral excerpts, ceremonies",N/A,"Classical › Symphonic theme; mood: uplifting, noble",Ideal first orchestral theme; simple rhythm and contour,Finale theme from Symphony No. 9.
Odissea veneziana,G. P. Reverberi & D. Farina,Film / TV theme,Italian TV music,Contemporary (c. 1975–present),Theme,G minor,4/4,Intermediate,Solo violin,Italy,Theme performance,N/A,"Film music › Italian; mood: sentimental, lyrical","Long phrases, expressive vibrato, wide dynamics",Theme from TV series / album of same name.
Paddy Fahey's Jig,Traditional,Folk,Irish jig,Traditional (pre-modern),Jig,D major / G major,6/8,Intermediate,Solo fiddle,Ireland,Session tune,Moderately common,"Folk › Irish jig; mood: rolling, thoughtful","Subtle phrasing, internal swing, ornaments; often mid-tempo",Many versions (“Paddy Fahey’s No. X”); tag which number if known.
Papirosen,Traditional,Folk,Yiddish song,20th century (c. 1900–2000),Song / slow to medium,D minor,2/4 or free then tempo,Intermediate,Solo violin,Eastern Europe (Jewish),Klezmer sets,Common in Klezmer repertoire,"Folk › Yiddish song; mood: melancholic, expressive","Free-rhythm intro, cantorial style ornaments, minor key",Well-known Klezmer standard.
Passacaglia - Double-stops,Johan Halvorsen (1864-1935),Classical,Romantic virtuosic,Late Romantic (c. 1850–1920),"Passacaglia (violin & viola, arranged)",G minor,3/4,Advanced–Professional,Solo violin (double-stop study),Norway,Virtuoso study / showpiece,N/A,"Classical › Virtuoso › Passacaglia; mood: intense, dramatic","High-level double stops, chords, big position work",Adapted from Halvorsen’s Passacaglia for violin & viola.
Passacaglia,Johan Halvorsen (1864-1935),Classical,Romantic virtuosic,Late Romantic (c. 1850–1920),Passacaglia (general),G minor,3/4,Advanced–Professional,Duo or solo arrangement,Norway,Recital showpiece,N/A,"Classical › Virtuoso › Passacaglia; mood: grand, serious",Same musical material as previous without explicit ‘double-stops’ emphasis tag,Use for main performance version.
Petit Papa Noël,Raymond Vincy & Henri Martinet,Christmas / chanson,French Christmas song,20th century (c. 1900–2000),Song / carol,F major,4/4,Beginner–Intermediate,Solo violin,France,Christmas events,Common in French-speaking regions,"Christmas › French song; mood: tender, nostalgic","Simple melody, ideal for kids’ concerts and family gatherings",Very popular in France.
Pinocchio - T'es Cap,Fiorenzo Carpi,Film / children,French version of Pinocchio song,20th century (c. 1900–2000),Song,G major,4/4,Beginner–Intermediate,Solo violin + accompaniment,Italy / France,Children’s performance,N/A,Film › Children’s song; mood: playful,"Light, bouncy rhythm; good for staccato and detaché",French adaptation; melody from Carpi’s themes.
Postscript,Marc Mouries,Original / possibly folk-jazz,Modern piece,Contemporary (c. 1975–present),Original composition,D minor,4/4,Intermediate–Advanced,Solo violin,N/A,Recital / personal project,N/A,Original › Contemporary; mood: introspective,"Use tags once style is fixed (e.g. gypsy, folk, neo-classical)",Key/mood based on your actual score—adjust as needed.
Practice Double Stops,Marc Mouries,Exercise,Double-stop study,Contemporary (c. 1975–present),Technical exercise,"Various (G, D, A, etc.)",4/4,Intermediate,Solo violin,N/A,Technique / warmup,N/A,Technique › Double stops; mood: neutral,Focus on intonation and bow balance across strings,Keys chosen for violin-friendly practice.
Practice,Marc Mouries,Exercise,General technical,Contemporary (c. 1975–present),Practice etude,Various,4/4,Beginner–Intermediate,Solo violin,N/A,Daily practice,N/A,Technique › General; mood: neutral,"May include scales, arpeggios, patterns",Tag sections if multiple techniques are covered.
"Quizás, quizás, quizás",Osvaldo Farres,Latin / bolero,Bolero,20th century (c. 1900–2000),Song,G minor / F minor,4/4,Intermediate,Solo violin + accompaniment,Cuba,Romantic sets,N/A,"Latin › Bolero; mood: playful, slightly teasing","Syncopation, slides, swingy Latin feel","Known also as “Perhaps, Perhaps, Perhaps”."
Reflections,Toshifumi Hinata,Ambient / neo-classical,Japanese ambient,Contemporary (c. 1975–present),Theme,D major,4/4,Intermediate,Solo violin,Japan,Atmospheric performance,N/A,"Ambient › Neo-classical; mood: dreamy, reflective","Long sustained notes, sparse phrasing, subtle dynamics",Popular from lo-fi / ambient playlists.
Rondo Alla Turca,W. A. Mozart,Classical,Classical piano piece (arr.),Classical (c. 1730–1820),Rondo,A minor (A major sections),2/4,Intermediate–Advanced,Solo violin + accompaniment,Austria,"Showpiece, recital",N/A,"Classical › Rondo; mood: playful, energetic","Fast runs, staccato, spiccato if adapted",Originally for piano (K331).
Rythmes Gitans (Daisy),Traditional,Folk,Gypsy rhythm study,Contemporary (c. 1975–present),Rhythm pattern study,A minor,4/4,Intermediate,Solo violin,Eastern Europe,Rhythm / groove practice,N/A,Folk › Gypsy rhythm; mood: driving,Focus on accompaniment / rhythmic bowing patterns,‘Daisy’ likely version name; treat as groove study.
Rythmes Gitans,Traditional,Folk,Gypsy rhythm study,Contemporary (c. 1975–present),Rhythm pattern study,A minor,4/4,Intermediate,Solo violin,Eastern Europe,Same as above,N/A,Folk › Gypsy rhythm; mood: intense,Complement to above; patterns and grooves for rhythm guitar/violin feel,You might merge as one suite in your catalog.
Scheherazade – Mvt. 2: The Kalendar Prince,Nikolai Rimsky-Korsakov,Classical,Romantic orchestral,Late Romantic (c. 1850–1920),Orchestral excerpt,B minor,"6/8, 3/4, etc.",Advanced–Professional,Solo violin (excerpt),Russia,"Recital excerpt, orchestral study",N/A,"Classical › Orchestral › Scheherazade; mood: exotic, narrative","High positions, expressive portamento, rubato; technical showcase",Movement 2 violin solo highlights story-telling.
Schindler's List,John Williams,Film / classical crossover,Holocaust film theme,Contemporary (c. 1975–present),Theme,D minor,4/4,Intermediate–Advanced,Solo violin + piano,USA,"Recital, commemorative events",N/A,"Film music › Theme; mood: mournful, haunting","Expressive slides, wide vibrato, soft dynamics",Iconic violin theme.
Schubert Serenade (Practice),Marc Mouries,Exercise / arrangement,Practice version of Schubert ‘Serenade’,Contemporary (c. 1975–present),Practice adaptation,D major,4/4,Intermediate,Solo violin,Austria / arranged,Technique + lyrical playing,N/A,Classical › Romantic song (practice); mood: tender,"Focus on shifting, phrasing, and fingerings (overlay practice)",Based on Schubert’s ‘Ständchen’.
Score Preview Example,Example Composer,Didactic / layout,Demo,Contemporary (c. 1975–present),Example,C major,4/4,Beginner–Intermediate,Solo violin,N/A,Engraving / software testing,N/A,Technique › Engraving example; mood: N/A,Not primarily meant as repertoire; used for preview testing,You may want to exclude from performer-facing search.
Serenade - Overlay Fingerings,Franz Schubert (1797-1828),Classical,Romantic song,Romantic (c. 1800–1910),Arrangement / étude,D major,4/4,Intermediate–Advanced,Solo violin + piano,Austria,"Recital, fingerings study",N/A,"Classical › Romantic; mood: lyrical, intimate",Focus on chosen shifting and fingerings (overlay notations),Based on ‘Ständchen’ from Schwanengesang.
Serenade,Franz Schubert,Classical,Romantic song,Romantic (c. 1800–1910),Song / theme,D major,4/4,Intermediate,Solo violin + piano,Austria,"Recital, weddings",N/A,"Classical › Romantic song; mood: tender, romantic","Legato phrasing, portamento, singing tone",Standard Schubert serenade arrangement.
Sérénade,Mel Bonis (1858 – 1937),Classical,Late-romantic French,Late Romantic (c. 1850–1920),Character piece,D major,3/4 or 4/4,Intermediate–Advanced,Solo violin + piano,France,Recital piece,N/A,"Classical › French › Serenade; mood: lyrical, warm","Rich harmonies, phrasing and dynamic nuance",Less known gem; lovely recital repertoire.
Si Tu Savais,Django Reinhardt,Jazz,Gypsy jazz ballad,20th century (c. 1900–2000),Song / ballad,G major,4/4,Intermediate–Advanced,Solo violin + rhythm,France,Gypsy jazz sets,N/A,"Jazz › Gypsy › Ballad; mood: nostalgic, romantic","Slow swing feel, expressive slides, chromatic lines",Often played at moderate ballad tempo.
Siciliana,Matteo Carcassi,Classical,Romantic guitar (arr.),Romantic (c. 1800–1910),Siciliana,G major,6/8,Intermediate,Solo violin + accompaniment,Italy,Recital piece,N/A,"Classical › Siciliana; mood: gentle, pastoral","Lilting rhythm, legato phrasing, simple arpeggios",Originally for guitar; violin adaptation takes melody.
Sicilienne,Maria-Theresia von Paradis (1759 – 1824),Classical,Classical/early romantic,Classical (c. 1730–1820),Sicilienne,E-flat major (often D),6/8,Intermediate,Solo violin + piano,Austria,Recital piece,N/A,"Classical › Sicilienne; mood: tender, lyrical","Gentle rocking motion, expressive vibrato, position shifts",Often transposed to D major for violin.
Silent Night,Franz Grüber (1787-1863),Christmas,Austrian carol,Romantic (c. 1800–1910),Carol,G major,3/4,Beginner–Intermediate,Solo violin / ensemble,Austria,Christmas services,Very common,"Christmas › Carol; mood: peaceful, sacred","Soft dynamics, long bows, simple phrasing",Widely transposed; G is common for violin.
Something's Got a Hold on Me,Leroy Kirkland & Pearl Woods,Soul / R&B,Etta James-style,20th century (c. 1900–2000),Song,C minor,4/4,Intermediate–Advanced,Solo violin + band,USA,Pop/soul feature,N/A,"Soul › Classic; mood: exuberant, powerful","Syncopation, aggressive bowing, bluesy slides",You’re likely using a melodic reduction of the vocal line.
Sous le ciel de Paris,Hubert Giraud,Chanson / musette,French chanson,20th century (c. 1900–2000),Song,G minor,3/4 or 4/4,Intermediate,Solo violin + accompaniment,France,Song feature,N/A,"Song › French chanson; mood: nostalgic, romantic","Waltz-like feel in some arrangements, rubato in others",Popular French standard.
Star Spangled Banner,John Stafford Smith,Anthem,US national anthem,Classical (c. 1730–1820),Anthem,A major,3/4,Intermediate,Solo violin,USA,"Ceremonies, sports events",N/A,"Anthem › USA; mood: solemn, patriotic","Wide range, high notes; intonation and control important",Often played in A or Bb; violin tends to favor A.
Stille  Nacht,Franz Gruber (1787-1863),Christmas,German carol,Romantic (c. 1800–1910),Carol,G major,3/4,Beginner–Intermediate,Solo violin,Austria/Germany,Christmas services,Very common,Christmas › Carol (German); mood: peaceful,Same tune as ‘Silent Night’ in German text context,Treat as language variant; same basic music.
Summertime,G. Gershwin,Jazz / opera,Jazz standard from opera,20th century (c. 1900–2000),Song / aria,A minor,4/4,Intermediate–Advanced,Solo violin + accompaniment,USA,"Jazz sets, recitals",N/A,"Jazz › Standard; mood: languid, bluesy","Slow swing or straight 8ths; sliding into notes, blues inflections",From opera *Porgy and Bess*.
Swallowtail Jig,Traditional,Folk,Irish jig,Traditional (pre-modern),Jig,E Dorian (Em),6/8,Early Intermediate,Solo fiddle,Ireland,Session tune,Very common (but sometimes overplayed),"Folk › Irish jig; mood: energetic, bright","Classic jig bowing, repeated AABB form, dorian mode",Played widely in Em; considered beginner-friendly but can be ornamented.:contentReference[oaicite:1]{index=1}
"Symphony No.40 in G minor, K.550","Mozart, Wolfgang Amadeus",Classical,Classical symphony,Classical (c. 1730–1820),Symphonic theme / excerpt,G minor,4/4,Advanced,Solo violin (melody),Austria,"Recital excerpt, study",N/A,"Classical › Symphony; mood: dramatic, restless","Classical articulation, phrasing, intonation in minor key",Usually main first-movement theme used.
Tango Flambe,Novi Novog,Tango / contemporary,Modern tango-ish,Contemporary (c. 1975–present),Tango piece,A minor,4/4,Intermediate–Advanced,Solo violin,N/A,"Showpiece, recital",N/A,"Tango › Contemporary; mood: fiery, sultry","Strong accents, slides, rhythmic precision",Exact details depend on your edition.
Tango To Evora,Loreena McKennitt,World / neo-folk,Celtic/world-tango fusion,Contemporary (c. 1975–present),Instrumental song,D minor,4/4,Intermediate,Solo violin,Canada,World music performance,N/A,"World › Tango-flavored; mood: mysterious, melancholic","Slow to medium tempo, long phrases, subtle ornaments",Often arranged for string ensembles.
Tchavolo Swing,Dorado Schmitt,Jazz,Gypsy jazz,Contemporary (c. 1975–present),Head / tune,G minor,4/4,Intermediate–Advanced,Solo violin + rhythm section,France,Gypsy jazz sets,Common in that scene,"Jazz › Gypsy; mood: driving, intense",Minor swing-type progression with gypsy phrasing,Named after guitarist Tchavolo Schmitt.
Teardrop Waltz,Reg Bouvette,Folk / fiddle,Canadian waltz,20th century (c. 1900–2000),Waltz,D major,3/4,Intermediate,Solo fiddle,Canada,Country / fiddle events,Moderately common,Folk › Canadian waltz; mood: sentimental,Vibrato and smooth bow changes; ideal for tone practice,Often played in fiddle contests.
The Butterfly,Tommy Potts,Folk,Irish slip jig,20th century (c. 1900–2000),Slip jig,E Dorian (Em),9/8,Intermediate–Advanced,Solo fiddle,Ireland,Session tune,Very common,"Folk › Irish slip jig; mood: dreamy, bittersweet","Complex phrasing, ornaments, 9/8 groove",Many players treat it more as air-like slip jig.
The Connaughtman's Rambles,Traditional,Folk,Irish jig,Traditional (pre-modern),Jig,D major,6/8,Early Intermediate,Solo fiddle,Ireland,Session tune,Very common,Folk › Irish jig; mood: cheerful,"Standard jig bowing, simple patterns; good early session tune",Often taught early in Irish fiddle learning.
The First Noel,Traditional French (18th Century),Christmas,French/English carol,Baroque (c. 1600–1750),Carol,G major,3/4,Beginner–Intermediate,Solo violin,France/England,Christmas services,Common,"Christmas › Carol; mood: serene, devotional","Long phrases, calm tempo, simple harmony",Spelling variant without diaeresis.
The First Noël,Traditional French (18th Century),Christmas,French/English carol,Baroque (c. 1600–1750),Carol,G major,3/4,Beginner–Intermediate,Solo violin,France/England,Christmas services,Common,Christmas › Carol; mood: serene,Duplicate title spelling; same tune as above,You may want to store both as one work with alt title.
The Gift Of Falling,Liz Knowles,Folk / contemporary,Irish / contemporary,Contemporary (c. 1975–present),Air / tune,D major,4/4 (often free),Intermediate–Advanced,Solo fiddle,USA/Ireland,"Slow set, concerts",Moderately common in contemporary fiddle circles,Folk › Contemporary fiddle; mood: introspective,"Expressive bowing, nuanced phrasing, non-traditional harmony",From modern Irish-fiddle composer Liz Knowles.
The Mad Lover,John Eccles,Classical,Baroque theatre music,Baroque (c. 1600–1750),Song / air,D minor,3/2 or 4/4,Intermediate,Solo violin (melody) + accompaniment,England,Early music performance,N/A,Classical › Baroque song; mood: dramatic,"Ornaments in Baroque style, flexibility with tempo",From incidental music to play of same name.
The Musical Priest,Trad. Irish,Folk,Irish reel,Traditional (pre-modern),Reel,B minor / D major,4/4,Intermediate–Advanced,Solo fiddle,Ireland,Session tune,Very common,"Folk › Irish reel; mood: driving, energetic","Arpeggios and string crossings, fast tempo",Often paired with other reels in sets.
The Trip To Sligo,Traditional,Folk,Irish jig / reel (depends),Traditional (pre-modern),Tune,D major,6/8 or 4/4,Intermediate,Solo fiddle,Ireland,Sessions,Moderately common,Folk › Irish tune; mood: lively,Check whether your version is jig or reel; bowing patterns follow.,Tag more specifically once form is fixed.
The Wellerman,Traditional,Folk / sea shanty,New Zealand whaling song,Romantic (c. 1800–1910),Sea shanty,D minor / D Dorian,4/4,Beginner–Intermediate,Solo violin + voice,New Zealand,"Sing-along, internet meme sets",Common recently,"Folk › Sea shanty; mood: robust, catchy","Strong rhythm, simple melody; great for group singing",Viral on TikTok; many arrangements.
Theme from Schindler's List,John Williams,Film / classical crossover,Holocaust film theme,Contemporary (c. 1975–present),Theme,D minor,4/4,Intermediate–Advanced,Solo violin + piano,USA,"Recital, commemorations",N/A,"Film music › Theme; mood: mournful, pleading",Iconic solo violin theme; big expressive demands,Same melodic material as ‘Schindler’s List’ entry – treat as main theme.
"Trip To Pakistan, The",Niall Kenny,Folk / contemporary,Irish-style reel,Contemporary (c. 1975–present),Reel,E minor,4/4,Advanced,Solo fiddle,Ireland,Sessions,Moderately common in modern circles,"Folk › Contemporary reel; mood: intense, exotic-flavored","Fast tempo, strong drive, modal feel",Modern Irish tune with distinctive chromaticism.
Up Sligo,Traditional,Folk,Irish jig,Traditional (pre-modern),Jig,D major,6/8,Intermediate,Solo fiddle,Ireland,Sessions,Moderately common,Folk › Irish jig; mood: bouncy,"Standard jig groove, ornaments as desired",Commonly paired with other Sligo-region tunes.
Violin Ringtone,Unknown,Misc / media,Ringtone / loop,Contemporary (c. 1975–present),Short loop,G major,4/4,Beginner–Intermediate,Solo violin,N/A,Fun / notification sound,N/A,Media › Ringtone; mood: catchy,Short phrase; easy to play and repeat,Not standard repertoire; treat as micro-piece.
Violin Solo from Sheherazade,Nikolai Rimsky-Korsakov (1844 – 1908),Classical,Romantic orchestral,Late Romantic (c. 1850–1920),Orchestral solo excerpt,E minor,"2/4, 3/4",Advanced–Professional,Solo violin (orchestral context),Russia,"Recital excerpt, orchestral audition",N/A,"Classical › Orchestral solo; mood: exotic, lyrical","High positions, portamento, expressive storytelling lines","From different movements of *Scheherazade*, usually mvt 1."
Vivaldi-Style,Marc Mouries,Original / baroque-style,Baroque pastiche,Contemporary (c. 1975–present),Study / small concerto-like piece,A minor,4/4,Intermediate–Advanced,Solo violin + accompaniment,N/A,Study in Baroque style,N/A,Original › Baroque-style; mood: energetic,"Sequences, arpeggios, typical Vivaldi motifs",Use for style study; tags may specify which movement.
We Wish You a Merry Christmas,Traditional English,Christmas,English carol,Traditional (pre-modern),Carol,G major,3/4 or 4/4,Beginner–Intermediate,Solo violin / ensemble,England,Christmas caroling,Very common,Christmas › Carol; mood: festive,"Catchy chorus, simple harmony; easy to harmonize",Often at brisk tempo with 3/4 feel.
Wedding March (For Organ),Felix Mendelssohn (1809–1847),Classical,Romantic wedding march,Romantic (c. 1800–1910),March,C major (often transposed),4/4,Intermediate,Solo violin or ensemble,Germany,Wedding processional,N/A,Classical › Wedding march; mood: triumphant,"Strong accents, clear rhythm, projected tone",From *A Midsummer Night’s Dream*.
Wedding March            ,Felix Mendelssohn (1809–1847),Classical,Romantic wedding march,Romantic (c. 1800–1910),March,C major (often transposed),4/4,Intermediate,Solo violin or ensemble,Germany,Wedding processional,N/A,Classical › Wedding march; mood: triumphant,"Strong accents, clear rhythm, projected tone",From *A Midsummer Night’s Dream*.
Whiskey in the Jar,Traditional Irish,Folk,Irish ballad,Traditional (pre-modern),Song,D major,4/4,Early Intermediate,Solo fiddle + voice,Ireland,"Sessions, pubs",Very common,"Folk › Irish song; mood: rowdy, storytelling",Simple repetitive melody; great for group singing,Many lyric and melodic variants.
Wiegenlied (Lullaby / Berceuse),Johannes Brahms (1833–1897),Classical,Romantic lullaby,Romantic (c. 1800–1910),Lullaby,E-flat major (often G),3/4,Early Intermediate,Solo violin + piano,Germany,"Recital, bedtime music",N/A,Classical › Lullaby; mood: soothing,"Soft dynamics, gentle rocking rhythm, simple shifts",‘Brahms’ Lullaby’; key often adapted for violin.
Wrong Roads,Steve Kroeger x Skye Holland,Pop / EDM,Contemporary pop,Contemporary (c. 1975–present),Song theme,F# minor,4/4,Intermediate,Solo violin + backing track,Canada,Pop cover,N/A,"Pop › EDM / vocal; mood: emotional, modern","Simple pop phrasing, repetitive hooks, rhythmic bowing",Based on song recording.
"Yarou, Yarou",Traditional Hungarian,Folk,Hungarian / Roma,Traditional (pre-modern),Dance / song,A minor,2/4,Intermediate,Solo violin,Hungary,Folk performance,Less common,Folk › Hungarian; mood: lively,"Uses slides, ornaments, dance-like articulation",Exact tune details based on your source.
You are my Sunshine,Jimmie Davis and Charles Mitchell,Country / folk,American song,20th century (c. 1900–2000),Song,C major,4/4,Beginner–Intermediate,Solo violin + voice,USA,"Sing-along, teaching",Very common,Folk / Country › Song; mood: cheerful (lyrics bittersweet),Simple melody; good for teaching transposition and simple harmony,Often used in beginner folk repertoires.
from the Movie Swing (2002),Mandino Reinhardt & Tchavolo Schmitt,Jazz,Gypsy jazz / film,Contemporary (c. 1975–present),Theme / tune,D minor,4/4,Intermediate–Advanced,Solo violin + rhythm section,France,Gypsy jazz performance,N/A,"Jazz › Gypsy film tune; mood: cool, swinging",Rest-stroke picking style if played on violin with same phrasing concepts,From movie *Swing* featuring gypsy jazz musicians.
ii-V-I Lick in D. Em A7 D,Marc Mouries,Jazz,Bebop / gypsy ii–V–I lick,Contemporary (c. 1975–present),Lick / étude,D major (over Em–A7–D),4/4,Intermediate,Solo violin,N/A,Improvisation vocabulary,N/A,Jazz › ii–V–I study; mood: technical,Helps internalize ii–V–I in D; arpeggios and enclosures,Can be applied in many jazz standards.
Коробейники (Korobeiniki),Trad. Russe,Folk,Russian folk song,Traditional (pre-modern),Song / dance tune,A minor,2/4,Intermediate,Solo violin,Russia,"Folk sets, game music tie-in",Common (via Tetris theme),Folk › Russian song; mood: energetic,"Fast notes, repeated patterns, staccato figures",Known worldwide as Tetris theme (Arrangement Type A).
Swallowtail Jig (Easy),Traditional,Folk,Irish jig,Traditional (pre-modern),Jig,E Dorian (Em),6/8,Beginner,Solo fiddle,Ireland,Learning / practice,Very common,"Folk › Irish jig; mood: energetic, bright; level: easy","Simplified version without ornaments or slurs, first position only",Easy arrangement for beginners.
10-Step Violin Practice,Marc Mouries,Exercise,Practice routine,Contemporary (c. 1975–present),Method / exercise collection,Various,Various,All levels,Solo violin,N/A,Daily practice routine,N/A,"Practice › Warm-up; technique: comprehensive","10-step daily practice routine covering all fundamental techniques",Based on methods from Galamian, Flesch, and Simon Fischer.
